brand,screen_size,harddisk,cpu,OS,price,integer_ram
Rokc,14.0,1000.0,Intel,Win,589.99,8.0
Hp,15.6,1000.0,Intel,Win,999.99,64.0
Acer,15.6,128.0,Ryzen,Win,299.99,8.0
Acer,15.6,64.0,Celeron,Chrome OS,239.99,4.0
Asus,16.0,512.0,Intel,Win,1274.03,16.0
Acer,15.6,128.0,Intel,Win,299.99,8.0
Acer,15.6,512.0,Intel,Win,814.77,16.0
Hp,14.0,1.0,Ryzen,Win,379.99,16.0
Rokc,15.6,1152.0,Pentium,Win,389.99,20.0
Hp,15.6,1000.0,Pentium,Win,459.99,16.0
Rokc,15.6,1000.0,Intel,Win,639.99,20.0
Acer,17.3,1.0,Ryzen,Win,1199.99,16.0
Hp,15.6,1.0,Intel,Win,473.0,16.0
Gateway,11.6,64.0,Celeron,Win,155.0,4.0
Asus,15.6,512.0,Intel,Win,699.99,8.0
Msi,15.6,512.0,Intel,Win,938.0,16.0
Lenovo,15.6,256.0,Intel,Win,419.0,20.0
Lenovo,15.6,256.0,Ryzen,Win,801.96,8.0
Asus,16.0,1.0,Intel,Win,1799.99,16.0
Hp,14.0,64.0,Celeron,Chrome OS,249.0,4.0
Hp,17.3,1.0,Intel,Win,510.0,32.0
Hp,15.6,512.0,Intel,Win,527.15,16.0
Dell,16.0,1000.0,Intel,Win,899.99,32.0
Rokc,14.0,1000.0,Intel,Win,589.99,8.0
Hp,15.6,1000.0,Intel,Win,999.99,64.0
Lenovo,14.0,1.0,Intel,Win,359.0,20.0
Hp,14.0,64.0,Celeron,Chrome OS,209.99,4.0
Lenovo,15.6,512.0,Intel,Win,637.35,8.0
Dell,15.6,1.0,Celeron,Win,439.0,16.0
Acer,14.0,128.0,Pentium,Chrome OS,372.66,8.0
Msi,15.6,1.0,Intel,Win,1429.0,16.0
Lenovo,14.0,128.0,Intel,Win,281.69,8.0
Asus,15.6,64.0,Celeron,Win,236.47,4.0
Hp,15.0,256.0,Ryzen,Win,337.96,8.0
Rokc,15.6,1152.0,Pentium,Win,389.99,20.0
Hp,15.6,1000.0,Pentium,Win,459.99,16.0
Rokc,15.6,1000.0,Intel,Win,639.99,20.0
Asus,13.3,1.0,Intel,Win,1399.99,32.0
Asus,15.6,1.0,Ryzen,Win,1044.77,16.0
Lenovo,15.6,64.0,Celeron,Chrome OS,294.29,8.0
Acer,15.6,64.0,Celeron,Chrome OS,224.0,4.0
Asus,14.0,128.0,Celeron,Chrome OS,225.82,4.0
Lenovo,14.0,256.0,Ryzen,Win,539.99,16.0
Acer,15.6,128.0,Celeron,Win,229.99,4.0
Asus,13.4,1.0,Intel,Win,1749.99,16.0
Hp,15.6,1.0,Intel,Win,465.0,16.0
Asus,16.0,2.0,Intel,Win,3349.0,32.0
Asus,18.0,2.0,Intel,Win,3899.0,32.0
Dell,16.0,1000.0,Intel,Win,899.99,32.0
Rokc,14.0,1000.0,Intel,Win,589.99,8.0
Hp,15.6,1000.0,Intel,Win,999.99,64.0
Lg,17.0,2.0,Intel,Win,1734.71,32.0
Asus,13.4,1.0,Intel,Win,2499.99,32.0
Lenovo,11.6,32.0,Media,Chrome OS,114.74,4.0
Microsoft,15.0,512.0,Intel,Win,1084.66,16.0
Asus,15.6,512.0,Intel,Win,1150.99,16.0
Asus,15.6,1.0,Ryzen,Win,1149.0,16.0
Hp,14.0,64.0,Celeron,Win,199.99,4.0
Asus,17.3,1.0,Ryzen,Win,2619.99,32.0
Acer,14.0,128.0,Intel,Win,426.64,8.0
Rokc,15.6,1152.0,Pentium,Win,389.99,20.0
Hp,15.6,1000.0,Pentium,Win,459.99,16.0
Rokc,15.6,1000.0,Intel,Win,639.99,20.0
Asus,17.3,512.0,Intel,Win,783.95,8.0
Lenovo,13.3,128.0,Intel,Chrome OS,479.0,8.0
Hp,15.6,1.0,Intel,Win,553.0,16.0
Dell,14.0,512.0,Intel,Win,399.0,16.0
Dell,16.0,1000.0,Intel,Win,899.99,32.0
Rokc,14.0,1000.0,Intel,Win,589.99,8.0
Hp,15.6,1000.0,Intel,Win,999.99,64.0
Acer,14.0,512.0,Intel,Win,762.19,16.0
Asus,15.6,1.0,Intel,Win,989.99,16.0
